一级类别,一级销售额,一级权重,二级类别,二级销售额,二级权重,三级类别,三级销售额,三级权重,基期销售量,基期销售额,基期价格,3月1日销售量,a3月1日销售额,平均价格,三级类指数,三级调整权重,二级类指数,二级调整权重,一级类指数,一级调整权重,总指数,二级基期价格,一级基期价格,三级真实权重,二级真实权重,一级真实权重
绿茶,13288345279,91.79%,名优绿茶,11546655143,86.89%,巴山雀舌,556800,0.00%,1740,556800,320,,,,,0.00%,151.88%,86.89%,182.50%,91.79%,182.20%,344.7141503,151.5328871,0.000000%,86.890000%,94.10%
,,,,,,邓村绿茶,1050000000,9.09%,3500000,1050000000,300,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,峨眉山茶,11527680,0.10%,30336,11527680,380,92,17695,192.34,50.61%,0.10%,,,,,,,,0.175562%,,
,,,,,,贵州针,72825000,0.63%,243000,72825000,299.69,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,汉中仙毫,75600000,0.65%,182000,75600000,415.38,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,黄山毛峰,360000000,3.12%,1300000,360000000,276.92,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,金坛雀舌,58800000,0.51%,49000,58800000,1200,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,卷曲形茶,547467900,4.74%,2013578,547467900,271.89,50,22418,448.36,164.91%,4.74%,,,,,,,,8.321629%,,
,,,,,,六安瓜片,338000000,2.93%,1320000,338000000,256.06,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,马边绿茶,2171400,0.02%,7755,2171400,280,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,茅山青锋,98560000,0.85%,308000,98560000,320,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭翠芽,111199000,0.96%,121000,111199000,919,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,湄潭毛峰,82620000,0.72%,340000,82620000,243,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶甘露,7059000,0.06%,13575,7059000,520,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,蒙顶山茶,12888720,0.11%,35802,12888720,360,392,47008,119.92,33.31%,0.11%,,,,,,,,0.193118%,,
,,,,,,蒲江雀舌,1360590,0.01%,4389,1360590,310,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,钱塘龙井,142520000,1.23%,367100,142520000,388.23,,,,,0.00%,,,,,,,,0.000000%,,
,,,,,,四川扁形茶,2835835000,24.56%,5419500,2835835000,523.27,302,179406,594.06,113.53%,24.56%,,,,,,,,43.117978%,,
,,,,,,松阳扁茶,373153202,3.23%,861538,373153202,433.12,,,,,0.00%,,,,,,,,0.000000%,,
